session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Nationality,Sex,Student Status
6288451865d4e55f4b9a43a9,609e28fc803b1238af34d1c4,APPROVED,2022-05-21 01:49:15.967000,2022-05-21 02:31:05.911000,2509.944,43,854,8,98,2022-05-23 09:00:39.070000,NOCODE,United States,United States,Full-Time,I only know English,English,United States,Male,No
6288451cc0f934369cba8be4,5f40442792000717762de583,APPROVED,2022-05-21 01:52:25.340000,2022-05-21 02:26:11.498000,2026.158,,621,0,100,2022-05-23 09:00:39.443000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Male,DATA EXPIRED
62884523df104d6df77aedb9,5ec9cf3ed4642d4ebb802b42,RETURNED,2022-05-21 01:49:30.287000,,219214.563541,54,1553,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6288452a59743e33548e08c6,611688156f6d22853511ffb3,RETURNED,2022-05-21 01:49:50.210000,,219194.652629,20,1133,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6288455260042d71ffb299ee,5c39606586c1450001a9675d,APPROVED,2022-05-21 01:50:15.046000,2022-05-21 02:12:50.825000,1355.779,36,1797,3,100,2022-05-23 09:00:39.839000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Female,DATA EXPIRED
62884569bbc1b8e291a0e4d1,60fd1c40e4dea75bcd7741f7,RETURNED,2022-05-21 01:50:38.532000,,219146.357713,53,862,13,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628845e2cd2a715d70aad373,5cfc7489e289a80016b6e29f,APPROVED,2022-05-21 01:53:24.874000,2022-05-21 02:11:05.501000,1060.627,27,647,4,99,2022-05-23 09:00:40.156000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Male,No
628846009f992dfb5da9a97c,5ec75df0d799ae1c11a8115c,APPROVED,2022-05-21 02:01:38.394000,2022-05-21 02:44:53.102000,2594.708,22,1596,0,100,2022-05-23 09:00:40.444000,81A407F4,United States,United States,Part-Time,I only know English,English,United States,Female,No
6288460ee72d3a28fdf60ba5,57a2b3e1dcff7d0001c7d0dc,RETURNED,2022-05-21 01:53:30.567000,,218974.367273,28,671,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628846ba97594c917969d00e,5c4c7a1a9446be00017e6b4a,RETURNED,2022-05-21 01:56:15.727000,,218809.22409,46,2443,22,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6288472c4856bbc88cd7b270,6175829c31cba7108908d548,RETURNED,2022-05-21 01:58:06.839000,,218698.128346,67,1233,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628847304361f80158c4c10e,5fb5d0347bcf111b3f1e7720,RETURNED,2022-05-21 01:58:12.025000,,218692.958469,24,214,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
